month,Features,No,score,F1,AUC
12,['CD4'],1,0.6875,0.6666666666666666,0.6904761904761906
12,['CD4'],2,0.6875,0.7368421052631579,0.6875
12,['CD4'],3,0.75,0.75,0.7619047619047619
12,['CD4'],4,0.8125,0.8571428571428572,0.8090909090909092
12,['CD4'],5,0.625,0.7,0.6
12,['CD4'],6,0.5625,0.588235294117647,0.5833333333333334
12,['CD4'],7,0.8125,0.823529411764706,0.8125
12,['CD4'],8,0.6875,0.7368421052631577,0.6833333333333335
12,['CD4'],9,0.6875,0.7368421052631579,0.7916666666666667
12,['CD4'],10,0.875,0.9,0.8666666666666666
12,['CD4'],11,0.5625,0.6666666666666666,0.5166666666666667
12,['CD4'],12,0.625,0.7272727272727274,0.5873015873015872
12,['CD4'],13,0.625,0.7272727272727272,0.5666666666666667
12,['CD4'],14,0.875,0.9090909090909091,0.8333333333333334
12,['CD4'],15,0.75,0.7777777777777778,0.746031746031746
12,['CD4'],16,0.6875,0.6666666666666666,0.6875
12,['CD4'],17,0.625,0.625,0.625
12,['CD4'],18,0.625,0.625,0.6666666666666667
12,['CD4'],19,0.625,0.6666666666666665,0.6333333333333334
12,['CD4'],20,0.75,0.7999999999999999,0.7301587301587301
12,['CD4'],21,0.625,0.7272727272727273,0.5636363636363636
12,['CD4'],22,0.6875,0.761904761904762,0.7083333333333334
12,['CD4'],23,0.5625,0.5882352941176471,0.5634920634920635
12,['CD4'],24,0.875,0.9,0.8666666666666666
12,['CD4'],25,0.8125,0.8571428571428572,0.7833333333333334
12,['CD4'],26,0.625,0.6666666666666665,0.6333333333333334
12,['CD4'],27,0.6875,0.761904761904762,0.6636363636363637
12,['CD4'],28,0.5,0.6666666666666666,0.5
12,['CD4'],29,0.75,0.7777777777777777,0.75
12,['CD4'],30,0.5,0.5,0.5079365079365079
12,['CD4'],31,0.6875,0.6666666666666667,0.7063492063492064
12,['CD4'],32,0.75,0.8000000000000002,0.7333333333333334
12,['CD4'],33,0.625,0.7272727272727272,0.5666666666666667
12,['CD4'],34,0.6875,0.761904761904762,0.6636363636363637
12,['CD4'],35,0.875,0.888888888888889,0.9
12,['CD4'],36,0.6875,0.7368421052631577,0.6746031746031745
12,['CD4'],37,0.5625,0.588235294117647,0.5793650793650794
12,['CD4'],38,0.6875,0.7368421052631577,0.6833333333333335
12,['CD4'],39,0.875,0.9166666666666666,0.9230769230769231
12,['CD4'],40,0.625,0.7272727272727273,0.5636363636363636
12,['CD4'],41,0.625,0.7272727272727272,0.5666666666666667
12,['CD4'],42,0.6875,0.7058823529411765,0.6875
12,['CD4'],43,0.5625,0.6666666666666666,0.5181818181818182
12,['CD4'],44,0.8125,0.8421052631578948,0.8015873015873016
12,['CD4'],45,0.6875,0.7368421052631577,0.6833333333333335
12,['CD4'],46,0.5625,0.4615384615384615,0.5476190476190477
12,['CD4'],47,0.625,0.6666666666666666,0.619047619047619
12,['CD4'],48,0.5,0.5,0.5333333333333333
12,['CD4'],49,0.6875,0.761904761904762,0.7083333333333334
12,['CD4'],50,0.625,0.7272727272727273,0.5636363636363636
12,['CD4'],51,0.6875,0.761904761904762,0.6587301587301587
12,['CD4'],52,0.75,0.7777777777777778,0.746031746031746
12,['CD4'],53,0.5625,0.631578947368421,0.5952380952380953
12,['CD4'],54,0.6875,0.7058823529411765,0.6875
12,['CD4'],55,0.5625,0.5333333333333333,0.5634920634920635
12,['CD4'],56,0.625,0.6666666666666666,0.619047619047619
12,['CD4'],57,0.625,0.6666666666666666,0.619047619047619
12,['CD4'],58,0.625,0.6666666666666665,0.6507936507936507
12,['CD4'],59,0.5625,0.4615384615384615,0.5476190476190477
12,['CD4'],60,0.75,0.8000000000000002,0.7333333333333334
12,['CD4'],61,0.6875,0.7368421052631579,0.7181818181818181
12,['CD4'],62,0.625,0.7272727272727274,0.6410256410256411
12,['CD4'],63,0.625,0.7000000000000001,0.6031746031746033
12,['CD4'],64,0.625,0.5714285714285715,0.6333333333333333
12,['CD4'],65,0.625,0.7000000000000001,0.6031746031746033
12,['CD4'],66,0.8125,0.8235294117647058,0.85
12,['CD4'],67,0.6875,0.5454545454545454,0.6500000000000001
12,['CD4'],68,0.75,0.7999999999999999,0.7301587301587301
12,['CD4'],69,0.75,0.8181818181818182,0.7090909090909092
12,['CD4'],70,0.6875,0.6666666666666666,0.6875
12,['CD4'],71,0.625,0.625,0.625
12,['CD4'],72,0.5625,0.631578947368421,0.55
12,['CD4'],73,0.6875,0.7058823529411765,0.6904761904761905
12,['CD4'],74,0.5625,0.6666666666666666,0.5181818181818182
12,['CD4'],75,0.625,0.6250000000000001,0.6349206349206349
12,['CD4'],76,0.8125,0.8695652173913043,0.7545454545454546
12,['CD4'],77,0.5,0.5,0.5079365079365079
12,['CD4'],78,0.625,0.625,0.7272727272727273
12,['CD4'],79,0.5625,0.631578947368421,0.55
12,['CD4'],80,0.5625,0.631578947368421,0.625
12,['CD4'],81,0.6875,0.761904761904762,0.6587301587301587
12,['CD4'],82,0.6875,0.7368421052631579,0.7181818181818181
12,['CD4'],83,0.6875,0.7368421052631577,0.6833333333333335
12,['CD4'],84,0.6875,0.7058823529411765,0.6875
12,['CD4'],85,0.6875,0.7368421052631579,0.7181818181818181
12,['CD4'],86,0.6875,0.761904761904762,0.65
12,['CD4'],87,0.5,0.5,0.5
12,['CD4'],88,0.6875,0.8,0.6071428571428572
12,['CD4'],89,0.5625,0.3636363636363636,0.5181818181818182
12,['CD4'],90,0.5625,0.5333333333333333,0.5634920634920635
12,['CD4'],91,0.6875,0.761904761904762,0.65
12,['CD4'],92,0.625,0.625,0.625
12,['CD4'],93,0.6875,0.761904761904762,0.6636363636363637
12,['CD4'],94,0.6875,0.761904761904762,0.65
12,['CD4'],95,0.375,0.375,0.380952380952381
12,['CD4'],96,0.5625,0.5882352941176471,0.5634920634920635
12,['CD4'],97,0.6875,0.761904761904762,0.6587301587301587
12,['CD4'],98,0.8125,0.8695652173913043,0.7545454545454546
12,['CD4'],99,0.625,0.6666666666666665,0.625
12,['CD4'],100,0.625,0.7000000000000001,0.6031746031746033
12,['PD-1'],1,0.4375,0.6086956521739131,0.5
12,['PD-1'],2,0.5,0.6666666666666666,0.5
12,['PD-1'],3,0.5625,0.72,0.5
12,['PD-1'],4,0.6875,0.8148148148148148,0.5
12,['PD-1'],5,0.625,0.7692307692307693,0.5
12,['PD-1'],6,0.625,0.7692307692307693,0.5
12,['PD-1'],7,0.5,0.6666666666666666,0.5
12,['PD-1'],8,0.625,0.7692307692307693,0.5
12,['PD-1'],9,0.75,0.8571428571428571,0.5
12,['PD-1'],10,0.625,0.7692307692307693,0.5
12,['PD-1'],11,0.625,0.7692307692307693,0.5
12,['PD-1'],12,0.5625,0.72,0.5
12,['PD-1'],13,0.625,0.7692307692307693,0.5
12,['PD-1'],14,0.625,0.7692307692307693,0.5
12,['PD-1'],15,0.5625,0.72,0.5
12,['PD-1'],16,0.5,0.6666666666666666,0.5
12,['PD-1'],17,0.5,0.6666666666666666,0.5
12,['PD-1'],18,0.375,0.5454545454545454,0.5
12,['PD-1'],19,0.625,0.7692307692307693,0.5
12,['PD-1'],20,0.5625,0.72,0.5
12,['PD-1'],21,0.6875,0.8148148148148148,0.5
12,['PD-1'],22,0.75,0.8571428571428571,0.5
12,['PD-1'],23,0.5625,0.72,0.5
12,['PD-1'],24,0.625,0.7692307692307693,0.5
12,['PD-1'],25,0.625,0.7692307692307693,0.5
12,['PD-1'],26,0.625,0.7692307692307693,0.5
12,['PD-1'],27,0.6875,0.8148148148148148,0.5
12,['PD-1'],28,0.5,0.6666666666666666,0.5
12,['PD-1'],29,0.5,0.6666666666666666,0.5
12,['PD-1'],30,0.5625,0.72,0.5
12,['PD-1'],31,0.5625,0.72,0.5
12,['PD-1'],32,0.625,0.7692307692307693,0.5
12,['PD-1'],33,0.625,0.7692307692307693,0.5
12,['PD-1'],34,0.6875,0.8148148148148148,0.5
12,['PD-1'],35,0.625,0.7692307692307693,0.5
12,['PD-1'],36,0.5625,0.72,0.5
12,['PD-1'],37,0.4375,0.6086956521739131,0.5
12,['PD-1'],38,0.625,0.7692307692307693,0.5
12,['PD-1'],39,0.1875,0.0,0.5
12,['PD-1'],40,0.6875,0.8148148148148148,0.5
12,['PD-1'],41,0.625,0.7692307692307693,0.5
12,['PD-1'],42,0.5,0.6666666666666666,0.5
12,['PD-1'],43,0.6875,0.8148148148148148,0.5
12,['PD-1'],44,0.5625,0.72,0.5
12,['PD-1'],45,0.625,0.7692307692307693,0.5
12,['PD-1'],46,0.4375,0.6086956521739131,0.5
12,['PD-1'],47,0.5625,0.72,0.5
12,['PD-1'],48,0.375,0.5454545454545454,0.5
12,['PD-1'],49,0.75,0.8571428571428571,0.5
12,['PD-1'],50,0.6875,0.8148148148148148,0.5
12,['PD-1'],51,0.5625,0.72,0.5
12,['PD-1'],52,0.5625,0.72,0.5
12,['PD-1'],53,0.4375,0.6086956521739131,0.5
12,['PD-1'],54,0.5,0.6666666666666666,0.5
12,['PD-1'],55,0.4375,0.6086956521739131,0.5
12,['PD-1'],56,0.5625,0.72,0.5
12,['PD-1'],57,0.5625,0.72,0.5
12,['PD-1'],58,0.4375,0.6086956521739131,0.5
12,['PD-1'],59,0.4375,0.6086956521739131,0.5
12,['PD-1'],60,0.625,0.7692307692307693,0.5
12,['PD-1'],61,0.6875,0.8148148148148148,0.5
12,['PD-1'],62,0.25,0.14285714285714288,0.5384615384615384
12,['PD-1'],63,0.5625,0.72,0.5
12,['PD-1'],64,0.375,0.5454545454545454,0.5
12,['PD-1'],65,0.5625,0.72,0.5
12,['PD-1'],66,0.625,0.7692307692307693,0.5
12,['PD-1'],67,0.375,0.5454545454545454,0.5
12,['PD-1'],68,0.5625,0.72,0.5
12,['PD-1'],69,0.6875,0.8148148148148148,0.5
12,['PD-1'],70,0.5,0.6666666666666666,0.5
12,['PD-1'],71,0.5,0.6666666666666666,0.5
12,['PD-1'],72,0.625,0.7692307692307693,0.5
12,['PD-1'],73,0.5625,0.72,0.5
12,['PD-1'],74,0.6875,0.8148148148148148,0.5
12,['PD-1'],75,0.4375,0.6086956521739131,0.5
12,['PD-1'],76,0.6875,0.8148148148148148,0.5
12,['PD-1'],77,0.4375,0.6086956521739131,0.5
12,['PD-1'],78,0.3125,0.47619047619047616,0.5
12,['PD-1'],79,0.625,0.7692307692307693,0.5
12,['PD-1'],80,0.75,0.8571428571428571,0.5
12,['PD-1'],81,0.5625,0.72,0.5
12,['PD-1'],82,0.6875,0.8148148148148148,0.5
12,['PD-1'],83,0.625,0.7692307692307693,0.5
12,['PD-1'],84,0.5,0.6666666666666666,0.5
12,['PD-1'],85,0.6875,0.8148148148148148,0.5
12,['PD-1'],86,0.625,0.7692307692307693,0.5
12,['PD-1'],87,0.5,0.6666666666666666,0.5
12,['PD-1'],88,0.125,0.0,0.5
12,['PD-1'],89,0.3125,0.47619047619047616,0.5
12,['PD-1'],90,0.4375,0.6086956521739131,0.5
12,['PD-1'],91,0.625,0.7692307692307693,0.5
12,['PD-1'],92,0.5,0.6666666666666666,0.5
12,['PD-1'],93,0.6875,0.8148148148148148,0.5
