month,Features,No,score,F1,AUC
12,['CD4'],1,0.7777777777777778,0.7499999999999999,0.8333333333333334
12,['CD4'],2,0.6111111111111112,0.6666666666666667,0.6375
12,['CD4'],3,0.6666666666666666,0.7000000000000001,0.6666666666666666
12,['CD4'],4,0.6666666666666666,0.6666666666666665,0.675
12,['CD4'],5,0.6666666666666666,0.7000000000000001,0.6666666666666666
12,['CD4'],6,0.6111111111111112,0.5333333333333333,0.6111111111111112
12,['CD4'],7,0.7777777777777778,0.8,0.8
12,['CD4'],8,0.7222222222222222,0.7826086956521738,0.6948051948051949
12,['CD4'],9,0.5555555555555556,0.6363636363636364,0.5555555555555556
12,['CD4'],10,0.6666666666666666,0.7272727272727273,0.6493506493506493
12,['CD4'],11,0.6111111111111112,0.6666666666666666,0.6
12,['CD4'],12,0.8333333333333334,0.8571428571428571,0.8333333333333334
12,['CD4'],13,0.5555555555555556,0.6363636363636365,0.5375
12,['CD4'],14,0.7222222222222222,0.7058823529411764,0.7467532467532467
12,['CD4'],15,0.6111111111111112,0.6666666666666666,0.6
12,['CD4'],16,0.6666666666666666,0.6666666666666665,0.675
12,['CD4'],17,0.6666666666666666,0.6666666666666665,0.675
12,['CD4'],18,0.6111111111111112,0.6956521739130435,0.5875
12,['CD4'],19,0.6111111111111112,0.6956521739130435,0.577922077922078
12,['CD4'],20,0.6111111111111112,0.5882352941176471,0.6666666666666667
12,['CD4'],21,0.5555555555555556,0.6,0.55
12,['CD4'],22,0.7777777777777778,0.8461538461538461,0.7230769230769232
12,['CD4'],23,0.5,0.5263157894736842,0.512987012987013
12,['CD4'],24,0.6666666666666666,0.7272727272727273,0.6493506493506493
12,['CD4'],25,0.7222222222222222,0.7826086956521738,0.7
12,['CD4'],26,0.5555555555555556,0.5555555555555556,0.5555555555555556
12,['CD4'],27,0.8333333333333334,0.8571428571428572,0.8376623376623378
12,['CD4'],28,0.6666666666666666,0.7000000000000001,0.7272727272727273
12,['CD4'],29,0.7777777777777778,0.8333333333333333,0.7402597402597402
12,['CD4'],30,0.5555555555555556,0.42857142857142855,0.5324675324675324
12,['CD4'],31,0.5555555555555556,0.5555555555555556,0.5555555555555556
12,['CD4'],32,0.6666666666666666,0.7692307692307692,0.6071428571428572
12,['CD4'],33,0.6111111111111112,0.631578947368421,0.6125
12,['CD4'],34,0.6666666666666666,0.7000000000000001,0.6666666666666666
12,['CD4'],35,0.6111111111111112,0.631578947368421,0.6111111111111112
12,['CD4'],36,0.6666666666666666,0.7,0.6625
12,['CD4'],37,0.6111111111111112,0.5333333333333333,0.6038961038961039
