month,Features,No,score,F1,AUC
12,['TNM-Stage'],1,0.6875,0.4444444444444445,0.625
12,['TNM-Stage'],2,0.8125,0.7272727272727272,0.7833333333333333
12,['TNM-Stage'],3,0.625,0.625,0.625
12,['TNM-Stage'],4,0.6875,0.4444444444444445,0.6428571428571428
12,['TNM-Stage'],5,0.5,0.42857142857142855,0.5
12,['TNM-Stage'],6,0.6875,0.7058823529411765,0.6904761904761905
12,['TNM-Stage'],7,0.5,0.5,0.5
12,['TNM-Stage'],8,0.75,0.75,0.7619047619047619
12,['TNM-Stage'],9,0.5625,0.5882352941176471,0.5634920634920635
12,['TNM-Stage'],10,0.625,0.625,0.6666666666666666
12,['TNM-Stage'],11,0.5625,0.631578947368421,0.55
12,['TNM-Stage'],12,0.625,0.625,0.625
12,['TNM-Stage'],13,0.5,0.5,0.5333333333333333
12,['TNM-Stage'],14,0.5625,0.5333333333333333,0.5634920634920635
12,['TNM-Stage'],15,0.375,0.2857142857142857,0.39682539682539686
12,['TNM-Stage'],16,0.5,0.42857142857142855,0.5
12,['TNM-Stage'],17,0.5,0.5555555555555556,0.5
12,['TNM-Stage'],18,0.625,0.6250000000000001,0.6349206349206349
12,['TNM-Stage'],19,0.5625,0.631578947368421,0.55
12,['TNM-Stage'],20,0.5,0.2,0.4166666666666666
12,['TNM-Stage'],21,0.5,0.5,0.5333333333333333
12,['TNM-Stage'],22,0.6875,0.7368421052631579,0.7916666666666667
12,['TNM-Stage'],23,0.6875,0.761904761904762,0.6636363636363637
12,['TNM-Stage'],24,0.4375,0.30769230769230765,0.5166666666666667
12,['TNM-Stage'],25,0.6875,0.7058823529411765,0.6904761904761905
12,['TNM-Stage'],26,0.75,0.75,0.75
12,['TNM-Stage'],27,0.625,0.6250000000000001,0.6349206349206349
12,['TNM-Stage'],28,0.5625,0.3636363636363636,0.5181818181818182
12,['TNM-Stage'],29,0.6875,0.6666666666666667,0.7063492063492064
12,['TNM-Stage'],30,0.5,0.3333333333333333,0.4761904761904762
12,['TNM-Stage'],31,0.625,0.6666666666666665,0.6507936507936507
12,['TNM-Stage'],32,0.4375,0.47058823529411764,0.6538461538461539
12,['TNM-Stage'],33,0.625,0.5714285714285715,0.625
12,['TNM-Stage'],34,0.5625,0.5882352941176471,0.5634920634920635
12,['TNM-Stage'],35,0.5,0.42857142857142855,0.4920634920634921
12,['TNM-Stage'],36,0.625,0.5714285714285715,0.625
12,['TNM-Stage'],37,0.5,0.42857142857142855,0.5
12,['TNM-Stage'],38,0.625,0.4,0.625
12,['TNM-Stage'],39,0.5625,0.5333333333333333,0.5793650793650794
12,['TNM-Stage'],40,0.4375,0.1818181818181818,0.4841269841269842
12,['TNM-Stage'],41,0.4375,0.47058823529411764,0.4375
12,['TNM-Stage'],42,0.5625,0.5882352941176471,0.5625
12,['TNM-Stage'],43,0.6875,0.7368421052631579,0.7181818181818181
12,['TNM-Stage'],44,0.625,0.5714285714285714,0.6507936507936508
